MH.HEAT_NUMBER,BOFV.START_TAP_TIME,BOFV.LADLE_NUMBER,DH.LADLE AS DEGASSER_LADLE,CH.LADLE_NUMBER AS CASOB_LADLE,MH.DEGAS_DATE_TIME AS MASTER_HEAT_DEGAS_TIME,MH.CASOB_DATE_TIME AS MASTER_HEAT_CASOB_TIME,DEGASSER_DURATION,CASOB_DURATION

500502	2020-01-31 15:05:10.00	28	28		2020-01-31 15:22:21.00		26	
600526	2020-01-31 17:27:10.00	28	28		2020-01-31 18:06:21.00		25	
500506	2020-01-31 20:12:54.00	28	28		2020-01-31 20:39:56.00		19	
600530	2020-01-31 23:04:27.00	28	28		2020-01-31 23:17:33.00		28	
500509	2020-02-01 01:15:33.00	28	28		2020-02-01 02:02:50.00		26	
600534	2020-02-01 03:58:14.00	28	28		2020-02-01 04:41:02.00		26	
600536	2020-02-01 06:35:08.00	28	24	28		2020-02-01 07:57:39.00	15	53
500514	2020-02-01 09:32:28.00	28	25	28		2020-02-01 10:11:38.00	22	30
600541	2020-02-01 11:53:01.00	28		28		2020-02-01 12:27:58.00		26
500518	2020-02-01 14:01:16.00	28	23				31	
500521	2020-02-01 16:20:17.00	28	25	28		2020-02-01 17:36:20.00	26	62
600547	2020-02-01 19:24:34.00	28		28		2020-02-01 21:04:58.00		56
600548	2020-02-01 23:05:23.00	28						
500527	2020-02-02 02:58:50.00	28	25				18	
600552	2020-02-02 06:28:30.00	28						
600628	2020-02-06 06:25:11.00	28		28		2020-02-06 07:37:09.00		39
600652	2020-02-07 05:10:07.00	28	28		2020-02-07 05:42:24.00		21	
500642	2020-02-09 08:26:25.00	28	23	28		2020-02-09 09:13:59.00	22	23
600696	2020-02-09 10:51:00.00	28		28		2020-02-09 11:37:38.00		30
500646	2020-02-09 13:20:45.00	28	23	28		2020-02-09 13:56:20.00	20	28
600700	2020-02-09 15:45:58.00	28		28		2020-02-09 16:25:57.00		32
500649	2020-02-09 17:58:35.00	28		28		2020-02-09 18:45:18.00		27
600704	2020-02-09 20:34:19.00	28		28		2020-02-09 21:25:08.00		40
500653	2020-02-09 22:45:38.00	28		28		2020-02-09 23:59:58.00		39
